food	fuel	wood	ore	tools
42.0	8.0	12.0	11.0	10.8
40.0	8.0	10.333333333333334	11.0	8.6
36.666666666666664	12.0	11.666666666666666	13.0	8.8
36.666666666666664	12.0	11.0	13.5	8.571428571428571
36.666666666666664	10.5	9.0	10.0	9.0
36.666666666666664	10.5	9.5	8.75	8.0
38.333333333333336	10.5	10.0	9.5	8.0
38.333333333333336	9.5	10.0	9.5	7.666666666666667
33.333333333333336	8.0	10.0	8.0	7.142857142857143
35.0	8.0	9.333333333333334	8.0	6.714285714285714
35.0	8.0	10.0	8.5	6.428571428571429
35.0	8.0	10.0	6.333333333333333	5.333333333333333
35.0	7.0	10.0	6.333333333333333	5.333333333333333
37.0	9.0	9.0	6.333333333333333	3.6666666666666665
37.0	9.0	9.0	7.0	3.8
37.0	9.0	8.0	6.0	5.0
37.0	10.0	8.0	6.0	3.5
40.666666666666664	7.0	8.0	6.0	5.0
33.5	7.0	6.0	6.5	3.5
33.5	7.0	8.0	8.0	4.333333333333333
31.0	10.0	8.0	6.0	3.0
29.0	8.0	7.5	7.0	4.0
29.0	8.0	9.0	4.0	3.25
29.0	7.0	8.0	6.0	3.5
29.0	8.0	6.0	8.0	2.6666666666666665
29.0	8.0	6.0	8.0	4.0
34.0	8.0	6.0	8.0	3.5
34.0	8.0	8.0	7.0	5.0
32.0	7.0	8.0	6.5	2.5
32.0	7.0	9.0	6.0	2.6
32.0	7.0	8.5	6.0	4.0
24.0	9.0	8.0	5.5	3.2
25.0	9.0	7.0	6.5	2.5
25.0	9.0	7.0	4.5	1.0
25.0	7.5	7.0	4.5	3.5
25.0	7.5	7.0	4.5	2.0
26.75	7.5	7.0	4.0	2.5
26.75	7.5	7.0	4.0	2.5
21.0	6.0	5.5	4.0	3.0
21.0	5.5	7.0	4.0	3.0
24.0	8.0	7.0	4.0	4.0
24.0	8.0	7.0	4.666666666666667	4.0
24.0	5.0	6.0	3.0	5.0
24.0	6.0	6.0	5.0	5.0
24.0	6.0	6.0	5.0	2.3333333333333335
24.0	6.0	6.0	5.0	3.0
23.2	6.0	6.0	5.0	3.0
20.0	6.0	5.0	4.0	3.0
20.0	5.0	6.0	4.666666666666667	5.0
20.0	6.0	6.0	6.0	5.0
23.0	5.0	6.0	4.0	2.0
23.0	5.0	4.0	4.0	3.0
23.0	6.0	4.0	4.0	1.0
23.0	6.0	4.0	4.0	1.0
23.0	6.0	4.0	4.0	3.0
23.0	6.0	4.0	4.0	3.0
24.666666666666668	6.0	4.0	2.0	1.0
26.0	6.0	3.0	2.0	2.0
26.0	5.0	3.0	2.0	2.0
26.0	5.0	3.0	4.0	2.0
26.0	5.0	3.0	4.0	2.0
26.0	5.0	3.0	4.0	2.0
25.0	5.0	3.0	2.0	2.0
25.0	4.0	3.0	2.0	1.0
25.0	4.0	3.0	2.0	2.0
25.0	4.0	3.0	2.0	2.0
25.0	4.0	3.0	3.0	2.0
20.5	4.0	3.0	3.0	2.0
20.5	4.0	2.5	3.0	2.0
20.5	5.0	2.0	3.0	2.0
27.0	5.0	2.0	3.0	2.3333333333333335
27.0	3.0	4.0	3.0	2.0
27.0	3.0	4.0	3.0	2.0
27.0	3.0	4.0	3.0	2.0
27.0	3.0	4.0	3.0	3.0
27.0	3.0	4.0	2.0	1.0
27.0	3.0	4.0	2.0	2.0
27.0	3.0	2.0	2.0	2.0
27.0	3.0	2.0	2.0	2.0
27.0	3.0	2.0	2.0	2.0
27.0	3.0	2.0	2.0	1.0
27.0	3.0	2.0	2.0	1.0
27.0	3.0	2.0	2.0	2.0
27.0	3.0	2.0	2.0	2.0
27.0	3.0	2.0	2.0	2.0
27.0	3.0	2.0	2.0	2.0
27.0	3.0	2.0	2.0	2.0
27.0	3.0	2.0	1.0	2.0
27.0	3.0	2.0	2.0	2.0
20.0	3.0	2.0	2.0	2.0
24.0	3.0	3.0	2.0	2.0
24.0	3.0	3.0	4.0	2.0
24.0	3.0	3.0	4.0	1.0
24.0	3.0	3.0	4.0	3.0
24.0	3.0	3.0	4.0	3.0
24.0	3.0	3.0	4.0	3.0
24.0	3.0	3.0	4.0	3.0
24.0	3.0	3.0	4.0	3.0
24.0	3.0	2.0	2.0	3.0
24.0	3.0	2.0	2.0	2.0
24.0	1.0	1.0	1.0	2.0
24.0	2.0	1.0	2.0	2.0
20.0	2.0	1.0	2.0	3.0
20.0	2.0	1.0	3.0	3.0
20.0	2.0	2.0	3.0	2.0
20.0	2.0	2.0	3.0	3.3333333333333335
20.0	2.0	2.0	3.0	3.3333333333333335
20.0	2.0	2.0	2.0	3.3333333333333335
20.0	2.0	2.0	2.0	3.3333333333333335
20.0	2.0	2.0	2.0	3.3333333333333335
20.0	2.0	2.0	2.0	3.3333333333333335
22.0	2.0	2.0	2.0	3.3333333333333335
22.0	2.0	2.0	2.0	3.3333333333333335
22.0	2.0	2.0	2.0	1.0
22.0	2.0	2.0	2.0	1.0
22.0	2.0	2.0	2.0	1.0
22.0	2.0	2.0	2.0	1.0
22.0	2.0	2.0	2.0	1.0
22.0	2.0	2.0	2.0	1.0
22.0	2.0	2.0	2.0	2.0
