food	fuel	wood	ore	tools
5.2	1	4	3	9
3.2	3	5	6	12
5.4	5	3	8	20
5.2	3	2	10	22
7.6	5	2	10	22
10.4	7	5	13	24
13.6	9	3	15	26
10.7	9	2	17	30
10	8	4	19	34
8.4	11	7	24	36
8	13	6	27	37
11.2	15	5	18	25
12.6	13	5	29	43
12.2	18	7	33	33
12.4	19	7	37	50
13.6	21	5	23	30
11	23	1	43	45
15.6	14	7	47	78
10.4	25	5	46	48
11.8	27	5	50	67
12.8	29	6	49	79
12.4	24	6	57	81
13.8	31	6	5	58
12.2	25	4	62	86
16.8	34	4	63	94
18.6	35	5	49	69
17.4	22	7	40	115
12.7	28	7	61	110
13.2	35	3	72	92
14.6	29	5	67	115
13.4	42	6	69	151
15.6	43	6	78	133
16.4	34	6	87	148
18.6	41	4	68	141
19.6	37	3	78	174
12.2	45	6	81	178
18.6	40	7	88	187
22.0	42	7	79	129
18.0	43	3	104	202
19.0	37	5	108	183
17.4	55	7	112	219
20.5	49	9	103	173
22.8	29	6	98	237
23.6	59	7	116	234
20.8	60	7	117	236
24.4	52	7	109	263
20.6	63	8	99	270
19.3	64	12	112	210
23.2	44	12	124	252
19.0	54	11	122	258
23.8	56	8	95	234
25.7	68	11	124	315
25.8	70	10	125	278
28.0	59	4	126	286
26.4	60	10	128	294
23.8	62	8	130	303
26.8	76	16	83	293
27.3	78	5	100	366
19.6	67	9	133	321
25.8	81	12	135	381
26.8	83	14	118	391
26.6	85	14	119	399
26.8	87	11	103	409
28.0	53	3	140	388
26.6	90	7	142	421
27.8	69	14	144	392
27.8	70	10	145	430
26.4	96	11	68	437
27.8	98	7	120	342
30.0	100	6	67	446
30.0	40	8	95	453
27.6	61	8	150	447
29.6	69	13	67	461
30.8	34	15	152	465
28.4	34	12	152	387
31.8	68	15	95	428
29.6	102	7	151	475
32.8	102	12	67	372
30.8	102	14	151	481
30.8	102	14	151	484
29.4	102	13	149	452
31.8	102	14	149	490
31.0	102	14	67	494
26.6	102	9	108	422
30.8	102	14	108	462
29.8	102	14	149	465
31.8	102	12	149	428
30.8	102	7	108	471
32.8	102	12	148	474
27.6	34	12	147	477
33.0	68	9	67	479
33.3	34	11	145	438
34.0	33	12	105	485
32.8	33	12	144	530
32.6	33	3	144	499
33.8	33	12	105	530
32.8	100	12	86	468
29.6	33	11	144	532
35.0	99	10	105	533
35.8	33	7	143	500
36.0	33	7	105	534
30.6	98	3	142	483
31.6	97	15	103	535
37.0	97	13	103	531
36.8	97	13	138	493
40.4	97	3	137	526
32.6	48	12	137	520
41.0	95	3	114	518
42.0	95	14	136	516
42.2	95	9	136	503
37.8	95	14	136	501
42.0	95	12	136	510
41.0	48	8	136	390
39.8	95	13	136	422
40.0	95	13	136	503
40.8	95	13	67	378
41.0	95	13	136	374
41.2	95	13	136	497
39.8	95	8	136	495
40.8	95	13	67	493
40.0	95	13	136	489
41.2	95	3	136	420
41.0	95	3	136	350
37.8	95	13	136	346
41.0	0	13	136	412
39.8	0	3	136	478
38.8	48	8	135	476
41.8	95	8	134	330
42.0	0	8	67	326
42.2	0	3	134	461
39.8	95	13	134	454
39.8	0	12	101	382
43.0	95	12	101	444
43.0	95	12	134	372
43.0	48	3	134	302
39.8	95	12	134	364
39.8	95	3	134	424
41.8	0	12	134	354
41.8	95	12	67	286
43.0	95	12	134	409
38.6	95	12	101	404
40.0	48	12	101	399
43.8	95	7	133	394
34.8	95	11	133	389
44.2	95	11	133	322
41.0	48	10	132	378
45.0	0	10	132	373
44.8	95	7	131	368
43.8	94	14	131	246
42.0	94	14	67	358
